Name,200% Ult. Date in JP,200% Ultimate,Attributes,Blessing of the Lantern,BotL Date in GL,BotL Date in JP,Class,Class Breakthrough,Class Breakthrough Date in GL,Class Breakthrough Date in JP,Continent,Crit,Crit (Lv. 120),E.Atk,E.Atk (Lv. 120),E.Def,E.Def (Lv. 120),GL Release Date,GL Score,GL Tier,General pool,HP,HP (Lv. 120),Influence,JP Release Date,JP Tier,JP game8 Score,Japanese Name,Job,Location,Obtained from,P.Atk,P.Atk (Lv. 120),P.Def,P.Def (Lv. 120),SP,SP (Lv. 120),Spd,Spd (Lv. 120),Ultimate Priority,Weakness to hit
Primrose,16-Jan-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fan%201.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%201.png",Available in GL,23-Jan-25,27-Jul-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,10-Jul-25,8-Aug-24,Orsterra,247,282,442,507,332,382,10-Aug-22,5.68,C,Yes,2706,3526,Power,13-Jul-21,B,9.5,プリムロゼ,Dancer,Sunshade,Chance Encounters,240,290,230,280,504,574,392,457,Leave it at U Lv9,"Dark, Fan"
Therese,6-Jan-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%201.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%202.png",Available in GL,13-Feb-25,17-Aug-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,13-Feb-25,18-Jan-24,Orsterra,266,316,374,439,330,380,17-Aug-22,4.19,D,Yes,2876,3536,Fame,26-Nov-20,E,9.1,テレーズ,Scholar,Theatropolis,Chance Encounters,226,276,281,331,567,657,303,353,A4 before U Lv10,"Lightning, Tome"
Kouren,19-Dec-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%201.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%201.png",Available in GL,27-Feb-25,22-Nov-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,15-Aug-24,Orsterra,343,393,327,377,216,266,24-Aug-22,4.71,D,Yes,3222,4042,Wealth,21-Jul-21,E,9.1,コウレン,Warrior,Grandport,Chance Encounters,384,449,298,363,291,361,295,330,Leave it at U Lv9,"Light, Sword"
Hasumi,19-Dec-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fan%202.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%202.png",Available in GL,27-Feb-25,22-Nov-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,15-Aug-24,Orsterra,264,299,417,482,356,406,31-Aug-22,4.69,D,Yes,2756,3576,Power,22-Sep-21,D,9.2,ハスミ,Dancer,Grandport,Chance Encounters,230,280,265,315,502,572,317,382,Leave it at U Lv9,"Fan, Light"
H’aanit,19-Jun-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Bow%201.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%202.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%202.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%203.png",Available in GL,23-Jan-25,27-Jul-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,23-Jan-25,9-Nov-23,Orsterra,342,407,327,377,255,275,7-Sep-22,5,C,Yes,3096,3916,Fame,5-Nov-20,E,9.1,ハンイット,Hunter,Valore,Chance Encounters,388,453,231,281,369,449,350,400,Leave it at U Lv9,"Bow, Lightning, Polearm, Sword"
Tikilen,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%203.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%203.png",Available in GL,1-May-25,11-Apr-24,⭐️⭐️⭐️⭐️⭐️,Available in JP,,11-Apr-24,Orsterra,290,340,372,437,241,291,7-Sep-22,4.56,D,Never,3062,3882,Wealth,10-Feb-21,E,9.1,ティキレン,Warrior,Victors Hollow,Tourney,339,389,323,388,301,371,290,325,A4 before U Lv10,"Sword, Wind"
Eliza,5-Dec-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%204.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%203.png",Available in GL,13-Feb-25,14-Sep-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,29-Aug-24,Orsterra,278,328,337,387,251,301,14-Sep-22,5,C,Yes,3092,3912,Power,25-Mar-21,D,9.2,エリザ,Warrior,Cathedral of Thytos,Chance Encounters,359,424,338,403,368,438,280,315,Ultimate not worth,"Light, Sword"
Odette,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%202.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%204.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%204.png",Available in GL,13-Mar-25,31-Aug-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,13-Mar-25,31-Jan-24,Orsterra,221,271,409,474,320,370,21-Sep-22,7.32,A,Never,2911,3571,Power,1-Jul-21,C,9.4,オデット,Scholar,Sunshade,Sacred Blaze Guidance,226,276,281,331,567,657,313,363,Leave it at U Lv9,"Light, Tome, Wind"
Lumis,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%201.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%205.png",Available in GL,13-Feb-25,12-Oct-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,23-May-24,Orsterra,244,294,303,368,224,274,28-Sep-22,4.67,D,Yes,3165,3985,Fame,25-Feb-21,D,9.2,リュミス,Apothecary,Donescu,Chance Encounters,365,415,356,406,379,449,333,383,Leave it at U Lv9,"Axe, Wind"
Stead,7-Nov-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Staff_Staves%201.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%202.png",Available in GL,6-Feb-25,21-Sep-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,4-Jul-24,Orsterra,273,308,390,455,394,459,28-Sep-22,4.04,D,Yes,2807,3547,Wealth,11-Mar-21,D,9.2,ステッド,Cleric,Donescu,Chance Encounters,266,316,287,337,385,465,286,336,Leave it at U Lv9,"Dark, Staff"
Glossom,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fan%203.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%204.png",Available in GL,3-Jul-25,6-Jun-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,3-Jul-25,6-Jun-24,Orsterra,270,305,352,402,332,382,5-Oct-22,4.48,D,Never,2733,3553,Power,11-Mar-21,D,9.2,グロッサム,Dancer,Donescu,Tourney,325,390,235,285,479,549,337,402,U Lv10 before A1,"Fan, Lightning"
Adelle,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dagger%202.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%205.png",Available in GL,10-Apr-25,29-Jun-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,10-Apr-25,30-Nov-23,Excillant (BRAVELY DEFAULT II),348,398,266,316,228,278,5-Oct-22,5.5,C,Never,2887,3707,Wealth,28-Apr-21,D,9.2,アデル,Thief,Nameless Town,BRAVELY DEFAULT Crossover Guidance,398,463,255,275,327,407,425,490,Leave it at U Lv9,"Dagger, Light"
Elvis,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%203.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%205.png",Available in JP,,29-Jun-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,22-Nov-23,Excillant (BRAVELY DEFAULT II),226,276,374,439,305,355,5-Oct-22,3.04,E,Never,3136,3796,Fame,28-Apr-21,D,9.2,エルヴィス,Scholar,Theatropolis,Free (Collab Traveler Story),246,296,276,326,502,592,273,323,A4 before U Lv10,"Lightning, Tome"
Edea,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%205.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%202.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%206.png",Available in GL,10-Apr-25,29-Jun-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,10-Apr-25,30-Nov-23,Luxendarc (BRAVELY DEFAULT),298,348,262,312,291,341,12-Oct-22,4.88,D,Never,3242,4062,Power,6-May-21,C,9.4,イデア,Warrior,Nameless Town,BRAVELY DEFAULT Crossover Guidance,389,454,383,448,286,356,260,295,A4 before U Lv10,"Fire, Light, Sword"
Agnès,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Staff_Staves%202.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%206.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%207.png",Available in GL,10-Apr-25,29-Jun-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,10-Apr-25,30-Nov-23,Luxendarc (BRAVELY DEFAULT),258,293,390,455,394,459,19-Oct-22,4.85,D,Never,2777,3517,Fame,13-May-21,B,9.5,アニエス,Cleric,Nameless Town,BRAVELY DEFAULT Crossover Guidance,256,306,287,337,395,475,331,381,Leave it at U Lv9,"Light, Staff, Wind"
Cardona,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%203.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%201.png",Available in GL,20-Feb-25,9-Nov-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,18-Jul-24,Orsterra,246,281,305,355,280,330,26-Oct-22,5.36,C,Yes,3400,4300,Fame,5-Aug-21,E,9.1,カルドナ,Merchant,Atlasdam,Chance Encounters,374,439,343,393,357,437,225,260,Leave it at U Lv9,"Ice, Polearm"
Lionel,19-Dec-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%206.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%202.png",Available in GL,6-Mar-25,6-Jul-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,6-Mar-25,28-Mar-24,Orsterra,318,368,237,287,256,306,2-Nov-22,4.27,D,Yes,3252,4072,Fame,14-Jan-21,D,9.2,ライオネル,Warrior,Flamesgrace,Chance Encounters,404,469,358,423,286,356,275,310,Ultimate not worth,"Ice, Sword"
Varkyn,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%204.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%208.png",Available in GL,19-Jun-25,12-Sep-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,19-Jun-25,12-Sep-24,Orsterra,231,281,419,484,300,350,2-Nov-22,4.84,D,Never,3026,3686,Power,8-Apr-21,D,9.2,ヴァルカン,Scholar,Cathedral of Thytos,Tourney,231,281,286,336,502,592,273,323,A4 before U Lv10,"Light, Tome"
Z’aanta,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Bow%202.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dagger%203.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fan%204.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%209.png",Available in GL,6-Mar-25,14-Sep-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,6-Mar-25,28-Mar-24,Orsterra,365,430,290,340,233,253,9-Nov-22,6.83,B,Yes,3222,4042,Wealth,28-Jan-21,E,9.1,ザンター,Hunter,Victors Hollow,Chance Encounters,397,462,238,288,371,451,315,365,Leave it at U Lv9,"Bow, Dagger, Fan, Light"
Lianna,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Staff_Staves%203.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%203.png",Available in GL,13-Mar-25,31-Aug-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,1-Aug-24,Orsterra,283,318,360,425,429,494,24-Nov-22,5.31,C,Never,2762,3502,Fame,1-Sep-21,C,9.4,リアナ,Cleric,Cathedral of Thytos,Sacred Blaze Guidance,256,306,312,362,350,430,276,326,Ultimate not worth,"Ice, Staff"
Therion,5-Jun-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dagger%204.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%203.png",Available in GL,23-Jan-25,27-Jul-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,10-Jul-25,8-Aug-24,Orsterra,318,368,301,351,228,278,24-Nov-22,7.69,A,Yes,2892,3712,Wealth,1-Jan-22,D,9.2,テリオン,Thief,Cragspear,Chance Encounters,378,443,255,275,332,412,445,510,Leave it at U Lv9,"Dagger, Fire"
Alfyn,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%202.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%204.png",Available in GL,23-Jan-25,27-Jul-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,10-Jul-25,8-Aug-24,Orsterra,268,318,286,351,238,288,30-Nov-22,6.44,B,Yes,3235,4055,Fame,17-Mar-22,C,9.4,アーフェン,Apothecary,Clearbrook,Chance Encounters,380,430,392,442,383,453,256,306,Leave it at U Lv9,"Axe, Ice"
Molrusso,7-Nov-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Staff_Staves%204.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%207.png",Available in GL,6-Feb-25,20-Jul-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,12-Jun-25,25-Apr-24,Orsterra,278,313,350,415,399,464,7-Dec-22,4,D,Yes,2772,3512,Power,25-Dec-20,D,9.2,モルルッソ,Cleric,Cragspear,Chance Encounters,261,311,282,332,425,505,326,376,U Lv10 before A1,"Staff, Wind"
Ri’tu,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dagger%205.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%206.png",Available in GL,1-May-25,11-Apr-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,8-May-25,11-Apr-24,Orsterra,333,383,276,326,232,282,7-Dec-22,4.63,D,Never,2782,3602,Power,13-May-21,E,9,リトゥ,Thief,Flamesgrace,Tourney,403,468,259,279,322,402,410,475,A4 before U Lv10,"Dagger, Lightning"
Nicola,5-Dec-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dagger%206.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%2010.png",Available in GL,6-Feb-25,5-Oct-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,6-Feb-25,7-Dec-23,Orsterra,328,378,266,316,248,298,14-Dec-22,6.7,B,Yes,2877,3697,Fame,11-Dec-20,C,9.3,ニコラ,Thief,Emberglow,Chance Encounters,353,418,275,295,347,427,425,490,A4 before U Lv10,"Dagger, Light"
Cyrus,6-Jan-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%205.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%204.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%205.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%207.png",Available in GL,23-Jan-25,13-Jul-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,23-Jan-25,26-Oct-23,Orsterra,246,296,454,519,330,380,21-Dec-22,8.3,S,Yes,2746,3406,Fame,18-Mar-21,C,9.3,サイラス,Scholar,Theatropolis,Chance Encounters,236,286,281,331,582,672,253,303,Leave it at U Lv9,"Fire, Ice, Lightning, Tome"
Harley,27-Mar-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fan%205.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%208.png",Available in GL,15-May-25,14-Sep-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,15-May-25,11-Apr-24,Orsterra,262,297,380,445,351,401,28-Dec-22,4,D,Yes,2831,3651,Fame,10-Feb-21,C,9.3,ハーレー,Dancer,Victors Hollow,Chance Encounters,257,307,239,289,452,522,356,421,U Lv10 before A1,"Fan, Wind"
Molu,19-Jun-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%206.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%205.png",Available in GL,13-Feb-25,26-Oct-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,12-Jun-25,25-Apr-24,Orsterra,246,296,414,479,320,370,11-Jan-23,5.13,C,Yes,2831,3491,Wealth,27-May-21,D,9.2,ムールゥ,Scholar,Sufrataljah,Chance Encounters,241,291,261,311,562,652,293,343,Leave it at U Lv9,"Fire, Tome"
Gertrude,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%203.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%203.png",Available in GL,1-May-25,31-Jan-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,22-May-25,31-Jan-24,Orsterra,246,296,306,371,222,272,11-Jan-23,4.79,D,Never,3235,4055,Wealth,10-Jun-21,E,9.1,ガートルード,Apothecary,Sufrataljah,Tourney,404,454,361,371,388,458,231,281,A4 before U Lv10,"Axe, Dark"
Kersjes,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Bow%203.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%206.png",Available in GL,27-Feb-25,12-Oct-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,29-Aug-24,Orsterra,365,430,315,365,248,268,18-Jan-23,5.55,C,Yes,3092,3912,Fame,8-Apr-21,E,9,カージェス,Hunter,Victors Hollow,Chance Encounters,432,497,223,273,306,386,305,355,A1 then U Lv10,"Bow, Ice"
Olberic,29-May-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%207.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%204.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%208.png",Available in GL,23-Jan-25,13-Jul-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,20-Feb-25,14-Feb-24,Orsterra,258,308,237,287,271,321,25-Jan-23,6,B,Yes,3452,4272,Power,28-Oct-21,C,9.4,オルベリク,Warrior,Sheperd's Rock,Chance Encounters,434,499,378,443,291,361,235,270,Leave it at U Lv9,"Lightning, Polearm, Sword"
Ophilia,24-Oct-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Staff_Staves%205.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%2011.png",Available in GL,23-Jan-25,13-Jul-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,10-Jul-25,8-Aug-24,Orsterra,258,293,380,445,399,464,25-Jan-23,6.13,B,Yes,2757,3497,Fame,28-Oct-21,B,9.5,オフィーリア,Cleric,Emberglow,Chance Encounters,251,301,292,342,470,550,291,341,U Lv10 before A1,"Light, Staff"
Dorothea,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%205.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%206.png",Available in GL,13-Mar-25,31-Aug-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,13-Mar-25,31-Jan-24,Orsterra,261,296,290,340,290,340,8-Feb-23,5.27,C,Never,3380,4280,Wealth,23-Jan-21,E,9.1,ドロテア,Merchant,Sheperd's Rock,Sacred Blaze Guidance,379,444,343,393,332,412,235,270,Leave it at U Lv9,"Fire, Polearm"
Yunnie,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Bow%204.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%208.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%206.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%204.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%207.png",Available in GL,1-May-25,31-Jan-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,1-May-25,31-Jan-24,Orsterra,375,440,240,290,233,253,15-Feb-23,6.33,B,Never,3042,3862,Fame,21-Jul-21,D,9.2,ユーニィ,Hunter,Grandport,Tourney,407,472,218,268,381,461,340,400,A4 before U Lv10,"Axe, Bow, Fire, Polearm, Sword"
Jillmeila,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Bow%205.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%204.png",Available in GL,27-Feb-25,17-Aug-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,15-Aug-24,Orsterra,405,470,276,326,254,274,15-Feb-23,5.13,C,Yes,2902,3722,Power,9-Sep-21,D,9.2,ジルメイラ,Hunter,I'cirlo,Chance Encounters,403,468,226,276,375,455,340,390,Leave it at U Lv9,"Bow, Dark"
Soleil,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%205.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%2012.png",Available in GL,6-Mar-25,28-Sep-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,6-Mar-25,28-Mar-24,Orsterra,218,268,361,426,228,278,22-Feb-23,4.7,D,Yes,3215,4035,Power,24-Jun-21,C,9.4,ソレイユ,Apothecary,Sufrataljah,Chance Encounters,332,382,383,433,388,458,276,326,Ultimate not worth,"Axe, Light"
